GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US24510151100,24510151100,"Census Tract 1511, Baltimore city, Maryland",6918,937
1400000US24510151200,24510151200,"Census Tract 1512, Baltimore city, Maryland",4761,597
1400000US24510151300,24510151300,"Census Tract 1513, Baltimore city, Maryland",4338,681
1400000US24510160100,24510160100,"Census Tract 1601, Baltimore city, Maryland",1998,425
1400000US24510160200,24510160200,"Census Tract 1602, Baltimore city, Maryland",2389,333
1400000US24510160300,24510160300,"Census Tract 1603, Baltimore city, Maryland",1114,254
1400000US24510160400,24510160400,"Census Tract 1604, Baltimore city, Maryland",2452,444
1400000US24510160500,24510160500,"Census Tract 1605, Baltimore city, Maryland",4605,510
1400000US24510160600,24510160600,"Census Tract 1606, Baltimore city, Maryland",3393,497
1400000US24510160700,24510160700,"Census Tract 1607, Baltimore city, Maryland",4311,592
1400000US24510160801,24510160801,"Census Tract 1608.01, Baltimore city, Maryland",3128,461
1400000US24510160802,24510160802,"Census Tract 1608.02, Baltimore city, Maryland",3375,448
1400000US24510170100,24510170100,"Census Tract 1701, Baltimore city, Maryland",1661,151
1400000US24510170200,24510170200,"Census Tract 1702, Baltimore city, Maryland",3033,524
1400000US24510170300,24510170300,"Census Tract 1703, Baltimore city, Maryland",1630,250
1400000US24510180100,24510180100,"Census Tract 1801, Baltimore city, Maryland",2253,239
1400000US24510180200,24510180200,"Census Tract 1802, Baltimore city, Maryland",930,186
1400000US24510180300,24510180300,"Census Tract 1803, Baltimore city, Maryland",1651,246
1400000US24510190100,24510190100,"Census Tract 1901, Baltimore city, Maryland",2057,391
1400000US24510190200,24510190200,"Census Tract 1902, Baltimore city, Maryland",1877,236
1400000US24510190300,24510190300,"Census Tract 1903, Baltimore city, Maryland",2442,393
1400000US24510200100,24510200100,"Census Tract 2001, Baltimore city, Maryland",1745,235
1400000US24510200200,24510200200,"Census Tract 2002, Baltimore city, Maryland",2618,649
1400000US24510200300,24510200300,"Census Tract 2003, Baltimore city, Maryland",1612,246
1400000US24510200400,24510200400,"Census Tract 2004, Baltimore city, Maryland",1549,244
1400000US24510200500,24510200500,"Census Tract 2005, Baltimore city, Maryland",2943,488
1400000US24510200600,24510200600,"Census Tract 2006, Baltimore city, Maryland",2299,330
1400000US24510200701,24510200701,"Census Tract 2007.01, Baltimore city, Maryland",5483,526
1400000US24510200702,24510200702,"Census Tract 2007.02, Baltimore city, Maryland",1100,143
